Year,Month,Day,Period,SOLAR_SYSTEM
2018,1,24,1,0.0
2018,1,24,2,0.0
2018,1,24,3,0.0
2018,1,24,4,0.0
2018,1,24,5,0.0
2018,1,24,6,0.0
2018,1,24,7,0.0
2018,1,24,8,0.0
2018,1,24,9,0.0
2018,1,24,10,0.0
2018,1,24,11,0.0
2018,1,24,12,0.0
2018,1,24,13,0.0
2018,1,24,14,0.0
2018,1,24,15,304.98211893439293
2018,1,24,16,528.6372023820877
2018,1,24,17,565.3120636940002
2018,1,24,18,550.2549111843109
2018,1,24,19,535.2818308472633
2018,1,24,20,541.2422382235527
2018,1,24,21,560.1631615161896
2018,1,24,22,570.041770875454
2018,1,24,23,464.78836423158646
2018,1,24,24,95.9305475205183
2018,1,25,1,0.0
2018,1,25,2,0.0
2018,1,25,3,0.0
2018,1,25,4,0.0
2018,1,25,5,0.0
2018,1,25,6,0.0
2018,1,25,7,0.0
2018,1,25,8,0.0
2018,1,25,9,0.0
2018,1,25,10,0.0
2018,1,25,11,0.0
2018,1,25,12,0.0
2018,1,25,13,0.0
2018,1,25,14,0.0
2018,1,25,15,303.2340888082981
2018,1,25,16,523.0744236707687
2018,1,25,17,566.271056830883
2018,1,25,18,553.5257669091225
2018,1,25,19,522.7052742242813
2018,1,25,20,529.8456317186356
2018,1,25,21,543.0584989190102
2018,1,25,22,475.77565038204193
2018,1,25,23,353.65922313928604
2018,1,25,24,60.456889525055885
2018,1,26,1,0.0
2018,1,26,2,0.0
2018,1,26,3,0.0
2018,1,26,4,0.0
2018,1,26,5,0.0
2018,1,26,6,0.0
2018,1,26,7,0.0
2018,1,26,8,0.0
2018,1,26,9,0.0
2018,1,26,10,0.0
2018,1,26,11,0.0
2018,1,26,12,0.0
2018,1,26,13,0.0
2018,1,26,14,0.0
2018,1,26,15,111.08366699889302
2018,1,26,16,156.72158886492252
2018,1,26,17,219.4235769957304
2018,1,26,18,256.66574154794216
2018,1,26,19,306.8791176378727
2018,1,26,20,304.5677776634693
2018,1,26,21,284.13613444566727
2018,1,26,22,256.78667528927326
2018,1,26,23,207.92719850689173
2018,1,26,24,64.74961773026735
2018,1,27,1,0.0
2018,1,27,2,0.0
2018,1,27,3,0.0
2018,1,27,4,0.0
2018,1,27,5,0.0
2018,1,27,6,0.0
2018,1,27,7,0.0
2018,1,27,8,0.0
2018,1,27,9,0.0
2018,1,27,10,0.0
2018,1,27,11,0.0
2018,1,27,12,0.0
2018,1,27,13,0.0
2018,1,27,14,0.0
2018,1,27,15,105.93021829426289
2018,1,27,16,233.8501228801906
2018,1,27,17,278.73394402116537
2018,1,27,18,291.3397041708231
2018,1,27,19,280.1878882050514
2018,1,27,20,275.2808831781149
2018,1,27,21,265.84292248636484
2018,1,27,22,335.10308653116226
2018,1,27,23,261.07805931568146
2018,1,27,24,78.0774597786367
2018,1,28,1,0.0
2018,1,28,2,0.0
2018,1,28,3,0.0
2018,1,28,4,0.0
2018,1,28,5,0.0
2018,1,28,6,0.0
2018,1,28,7,0.0
2018,1,28,8,0.0
2018,1,28,9,0.0
2018,1,28,10,0.0
2018,1,28,11,0.0
2018,1,28,12,0.0
2018,1,28,13,0.0
2018,1,28,14,0.0
2018,1,28,15,143.4416625201702
2018,1,28,16,365.754745811224
2018,1,28,17,424.7568613290787
2018,1,28,18,431.0790401697159
2018,1,28,19,431.8473532795906
2018,1,28,20,431.797458589077
2018,1,28,21,433.34815353155136
2018,1,28,22,497.29083520174026
2018,1,28,23,403.728129029274
2018,1,28,24,108.03677295148373
2018,1,29,1,0.0
2018,1,29,2,0.0
2018,1,29,3,0.0
2018,1,29,4,0.0
2018,1,29,5,0.0
2018,1,29,6,0.0
2018,1,29,7,0.0
2018,1,29,8,0.0
2018,1,29,9,0.0
2018,1,29,10,0.0
2018,1,29,11,0.0
2018,1,29,12,0.0
2018,1,29,13,0.0
2018,1,29,14,0.0
2018,1,29,15,324.75191551446915
2018,1,29,16,543.4408582448959
2018,1,29,17,583.4308618307114
2018,1,29,18,567.376694560051
2018,1,29,19,551.5008526444435
2018,1,29,20,556.8064649105072
2018,1,29,21,572.2258770465851
2018,1,29,22,581.6668672561646
2018,1,29,23,490.8279765844345
2018,1,29,24,129.66574949026108
2018,1,30,1,0.0
2018,1,30,2,0.0
2018,1,30,3,0.0
2018,1,30,4,0.0
2018,1,30,5,0.0
2018,1,30,6,0.0
2018,1,30,7,0.0
2018,1,30,8,0.0
2018,1,30,9,0.0
2018,1,30,10,0.0
2018,1,30,11,0.0
2018,1,30,12,0.0
2018,1,30,13,0.0
2018,1,30,14,1.415154978632927
2018,1,30,15,313.0823382139206
2018,1,30,16,534.0470059514046
2018,1,30,17,577.3270520567894
2018,1,30,18,563.1483792066574
2018,1,30,19,550.38900411129
2018,1,30,20,556.3576458692551
2018,1,30,21,571.4117131829262
2018,1,30,22,575.6229339241982
2018,1,30,23,480.59028005599976
2018,1,30,24,132.1987980157137
2018,1,31,1,0.0
2018,1,31,2,0.0
2018,1,31,3,0.0
2018,1,31,4,0.0
2018,1,31,5,0.0
2018,1,31,6,0.0
2018,1,31,7,0.0
2018,1,31,8,0.0
2018,1,31,9,0.0
2018,1,31,10,0.0
