Year,Month,Day,Period,SOLAR_SYSTEM
2018,1,20,3,0.0
2018,1,20,4,0.0
2018,1,20,5,0.0
2018,1,20,6,0.0
2018,1,20,7,0.0
2018,1,20,8,0.0
2018,1,20,9,0.0
2018,1,20,10,0.0
2018,1,20,11,0.0
2018,1,20,12,0.0
2018,1,20,13,0.0
2018,1,20,14,18.268036583333334
2018,1,20,15,166.8435515
2018,1,20,16,239.5301754166667
2018,1,20,17,288.76103129166677
2018,1,20,18,347.0697596249999
2018,1,20,19,359.7874152083333
2018,1,20,20,360.3838237916666
2018,1,20,21,393.0367851666666
2018,1,20,22,411.6915900416669
2018,1,20,23,390.1077276250001
2018,1,20,24,125.85344799999997
2018,1,21,1,0.6473025000000001
2018,1,21,2,0.0
2018,1,21,3,0.0
2018,1,21,4,0.0
2018,1,21,5,0.0
2018,1,21,6,0.0
2018,1,21,7,0.0
2018,1,21,8,0.0
2018,1,21,9,0.0
2018,1,21,10,0.0
2018,1,21,11,0.0
2018,1,21,12,0.0
2018,1,21,13,0.0
2018,1,21,14,10.158535833333332
2018,1,21,15,127.94397120833335
2018,1,21,16,249.87141770833327
2018,1,21,17,306.018575375
2018,1,21,18,310.71508395833337
2018,1,21,19,298.51821583333333
2018,1,21,20,346.048903875
2018,1,21,21,314.1221664166667
2018,1,21,22,280.5830294583333
2018,1,21,23,241.61585754166666
2018,1,21,24,85.64580620833335
2018,1,22,1,0.7176600000000001
2018,1,22,2,0.0
2018,1,22,3,0.0
2018,1,22,4,0.0
2018,1,22,5,0.0
2018,1,22,6,0.0
2018,1,22,7,0.0
2018,1,22,8,0.0
2018,1,22,9,0.0
2018,1,22,10,0.0
2018,1,22,11,0.0
2018,1,22,12,0.0
2018,1,22,13,0.0
2018,1,22,14,18.86974925
2018,1,22,15,257.3966595416667
2018,1,22,16,541.6209977083333
2018,1,22,17,571.8309169166668
2018,1,22,18,552.0096692500001
2018,1,22,19,535.3767220833332
2018,1,22,20,543.7317019166667
2018,1,22,21,566.0852877499999
2018,1,22,22,575.1454565416666
2018,1,22,23,452.1104447499999
2018,1,22,24,145.06983316666663
2018,1,23,1,0.9824400000000001
2018,1,23,2,0.0
2018,1,23,3,0.0
2018,1,23,4,0.0
2018,1,23,5,0.0
2018,1,23,6,0.0
2018,1,23,7,0.0
2018,1,23,8,0.0
2018,1,23,9,0.0
2018,1,23,10,0.0
2018,1,23,11,0.0
2018,1,23,12,0.0
2018,1,23,13,0.0
2018,1,23,14,14.410344291666664
2018,1,23,15,232.7237610833334
2018,1,23,16,504.8251065833334
2018,1,23,17,545.0887186250001
2018,1,23,18,526.304206
2018,1,23,19,519.7242993750001
2018,1,23,20,512.8392745000001
2018,1,23,21,523.1236159583334
2018,1,23,22,517.6628376250001
2018,1,23,23,398.8095099583333
2018,1,23,24,125.67373583333331
2018,1,24,1,1.0531125000000001
2018,1,24,2,0.0
2018,1,24,3,0.0
2018,1,24,4,0.0
2018,1,24,5,0.0
2018,1,24,6,0.0
2018,1,24,7,0.0
2018,1,24,8,0.0
2018,1,24,9,0.0
2018,1,24,10,0.0
2018,1,24,11,0.0
2018,1,24,12,0.0
2018,1,24,13,0.0
2018,1,24,14,21.548150416666665
2018,1,24,15,274.08233454166674
2018,1,24,16,530.1658447916667
2018,1,24,17,570.7677289583332
2018,1,24,18,553.4700475833333
2018,1,24,19,538.6047942916667
2018,1,24,20,544.5248135833333
2018,1,24,21,560.5250328333335
2018,1,24,22,568.8758249166666
2018,1,24,23,458.68812237500015
2018,1,24,24,153.448508
2018,1,25,1,1.22796
2018,1,25,2,0.0
2018,1,25,3,0.0
2018,1,25,4,0.0
2018,1,25,5,0.0
2018,1,25,6,0.0
2018,1,25,7,0.0
2018,1,25,8,0.0
2018,1,25,9,0.0
2018,1,25,10,0.0
2018,1,25,11,0.0
2018,1,25,12,0.0
2018,1,25,13,0.0
2018,1,25,14,21.025765750000005
2018,1,25,15,257.8443316666667
2018,1,25,16,494.67738941666676
2018,1,25,17,508.56307300000003
2018,1,25,18,399.6049297916667
2018,1,25,19,346.4513959583333
2018,1,25,20,394.0882442083333
2018,1,25,21,327.6022915833334
2018,1,25,22,280.64326487500006
2018,1,25,23,217.8277262083333
2018,1,25,24,94.13377862499998
2018,1,26,1,1.183455
2018,1,26,2,0.0
2018,1,26,3,0.0
2018,1,26,4,0.0
2018,1,26,5,0.0
2018,1,26,6,0.0
2018,1,26,7,0.0
2018,1,26,8,0.0
2018,1,26,9,0.0
2018,1,26,10,0.0
2018,1,26,11,0.0
2018,1,26,12,0.0
2018,1,26,13,0.0
2018,1,26,14,13.697095416666667
2018,1,26,15,152.56620329166665
2018,1,26,16,277.82312275000004
2018,1,26,17,281.65409308333335
2018,1,26,18,263.85005266666667
2018,1,26,19,260.1941869166667
2018,1,26,20,274.2699450416667
2018,1,26,21,293.5106054583334
2018,1,26,22,273.4561954166667
2018,1,26,23,224.79870837500005
2018,1,26,24,76.25173912499999
2018,1,27,1,1.1470500000000001
2018,1,27,2,0.0
2018,1,27,3,0.0
2018,1,27,4,0.0
2018,1,27,5,0.0
