Year,Month,Day,Period,COPPER_SHEET
2018,1,26,14,40189.234
2018,1,26,15,39033.855
2018,1,26,16,38653.273
2018,1,26,17,37704.586
2018,1,26,18,36368.344
2018,1,26,19,35548.098
2018,1,26,20,35240.023
2018,1,26,21,35280.188
2018,1,26,22,35107.258
2018,1,26,23,36481.03
2018,1,26,24,37667.16
2018,1,27,1,38241.156
2018,1,27,2,37387.855
2018,1,27,3,35868.63
2018,1,27,4,34047.625
2018,1,27,5,33362.43
2018,1,27,6,31118.23
2018,1,27,7,30550.373
2018,1,27,8,29763.16
2018,1,27,9,29456.31
2018,1,27,10,31132.955
2018,1,27,11,32688.59
2018,1,27,12,35311.812
2018,1,27,13,36787.027
2018,1,27,14,37623.71
2018,1,27,15,37500.42
2018,1,27,16,37235.227
2018,1,27,17,36246.832
2018,1,27,18,35456.96
2018,1,27,19,34650.105
2018,1,27,20,34203.566
2018,1,27,21,33581.793
2018,1,27,22,34003.12
2018,1,27,23,35019.36
2018,1,27,24,36149.98
2018,1,28,1,36838.3
2018,1,28,2,36006.824
2018,1,28,3,34617.03
2018,1,28,4,33537.305
2018,1,28,5,32098.506
2018,1,28,6,30707.996
2018,1,28,7,27722.555
2018,1,28,8,28493.97
2018,1,28,9,29540.984
2018,1,28,10,30973.535
2018,1,28,11,32536.76
2018,1,28,12,33949.72
2018,1,28,13,35279.387
2018,1,28,14,36451.81
2018,1,28,15,36572.496
2018,1,28,16,36560.93
2018,1,28,17,35415.504
2018,1,28,18,35581.59
2018,1,28,19,34284.344
2018,1,28,20,32960.195
2018,1,28,21,33266.543
2018,1,28,22,33403.184
2018,1,28,23,33831.227
2018,1,28,24,34708.543
2018,1,29,1,34286.01
2018,1,29,2,34004.812
2018,1,29,3,32800.81
2018,1,29,4,32232.514
2018,1,29,5,31949.53
2018,1,29,6,30801.135
2018,1,29,7,30663.361
2018,1,29,8,31307.305
2018,1,29,9,31822.084
2018,1,29,10,33321.676
2018,1,29,11,34766.25
2018,1,29,12,36851.508
2018,1,29,13,37314.617
2018,1,29,14,38291.816
2018,1,29,15,38886.395
2018,1,29,16,39014.42
2018,1,29,17,36734.438
2018,1,29,18,35617.996
2018,1,29,19,34141.85
2018,1,29,20,34296.387
2018,1,29,21,34518.258
2018,1,29,22,35269.195
2018,1,29,23,35438.133
2018,1,29,24,35646.754
2018,1,30,1,35651.23
2018,1,30,2,35912.76
2018,1,30,3,34867.633
2018,1,30,4,33392.484
2018,1,30,5,32710.75
2018,1,30,6,32331.4
2018,1,30,7,32657.16
2018,1,30,8,33273.7
2018,1,30,9,33993.5
2018,1,30,10,35427.785
2018,1,30,11,36165.73
2018,1,30,12,37741.184
2018,1,30,13,38906.254
2018,1,30,14,38707.375
