Year,Month,Day,Period,COPPER_SHEET
2018,1,17,9,57788.688
2018,1,17,10,59655.266
2018,1,17,11,62717.95
2018,1,17,12,65436.637
2018,1,17,13,65405.01
2018,1,17,14,64005.957
2018,1,17,15,61960.996
2018,1,17,16,59536.17
2018,1,17,17,56945.605
2018,1,17,18,54541.453
2018,1,17,19,52298.094
2018,1,17,20,50549.613
2018,1,17,21,50050.473
2018,1,17,22,51322.598
2018,1,17,23,55009.926
2018,1,17,24,57803.63
2018,1,18,1,58638.484
2018,1,18,2,58432.22
2018,1,18,3,56666.465
2018,1,18,4,54339.58
2018,1,18,5,52803.44
2018,1,18,6,52032.562
2018,1,18,7,52036.223
2018,1,18,8,52334.28
2018,1,18,9,53095.72
2018,1,18,10,54768.03
2018,1,18,11,58110.25
2018,1,18,12,61324.594
2018,1,18,13,60732.83
2018,1,18,14,58859.63
2018,1,18,15,56793.08
2018,1,18,16,54770.957
2018,1,18,17,52496.625
2018,1,18,18,50394.51
2018,1,18,19,48837.16
2018,1,18,20,47951.402
2018,1,18,21,48147.63
2018,1,18,22,49305.52
2018,1,18,23,51824.457
2018,1,18,24,53323.48
2018,1,19,1,53512.145
2018,1,19,2,52993.23
2018,1,19,3,50973.457
2018,1,19,4,48324.723
2018,1,19,5,46211.223
2018,1,19,6,44979.418
2018,1,19,7,44410.01
2018,1,19,8,44224.004
2018,1,19,9,44470.88
2018,1,19,10,45819.418
2018,1,19,11,48932.918
2018,1,19,12,52107.05
2018,1,19,13,51557.016
2018,1,19,14,50355.094
2018,1,19,15,49258.996
2018,1,19,16,47664.418
2018,1,19,17,45907.38
2018,1,19,18,44360.098
2018,1,19,19,42806.74
2018,1,19,20,41682.152
2018,1,19,21,41393.758
2018,1,19,22,41676.582
2018,1,19,23,43106.582
2018,1,19,24,43761.312
2018,1,20,1,43037.004
2018,1,20,2,42137.59
2018,1,20,3,40658.633
2018,1,20,4,38648.355
2018,1,20,5,36628.113
2018,1,20,6,35269.574
2018,1,20,7,34264.61
2018,1,20,8,33739.113
2018,1,20,9,33549.527
2018,1,20,10,33990.383
2018,1,20,11,35039.85
2018,1,20,12,36522.56
2018,1,20,13,37553.168
2018,1,20,14,38189.457
2018,1,20,15,38170.75
2018,1,20,16,37323.664
2018,1,20,17,36260.324
2018,1,20,18,35163.77
2018,1,20,19,34383.64
2018,1,20,20,33751.95
2018,1,20,21,33498.68
2018,1,20,22,33595.87
2018,1,20,23,34814.066
